日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-08-30,'600720,祁连山,7.86,8.24,7.85,8.22,8.22,-0.36,-4.3796,2.0727,16087564,128482997.0,6101641616.52,6100638719.82
2018-08-29,'600720,祁连山,8.22,8.28,8.16,8.16,8.19,0.03,0.3663,1.132,8786468,72126969.0,6381106118.04,6380057287.14
2018-08-28,'600720,祁连山,8.19,8.32,8.11,8.31,8.33,-0.14,-1.6807,1.7135,13299876,108730891.0,6357817409.58,6356772406.53
2018-08-27,'600720,祁连山,8.33,8.36,7.89,8.03,8.04,0.29,3.607,2.5968,20155550,164574797.0,6466498049.06,6465435182.71
2018-08-24,'600720,祁连山,8.04,8.25,8.01,8.15,8.07,-0.03,-0.3717,1.6929,13139698,106620353.0,6241373867.28,6240348003.48
2018-08-23,'600720,祁连山,8.07,8.18,7.92,8.16,8.15,-0.08,-0.9816,1.5187,11787407,94741177.0,6264662575.74,6263632884.09
2018-08-22,'600720,祁连山,8.15,8.27,8.03,8.27,8.28,-0.13,-1.57,1.7267,13402346,108930815.0,6326765798.3,6325725899.05
2018-08-21,'600720,祁连山,8.28,8.36,8.02,8.05,8.1,0.18,2.2222,2.4162,18753645,154419317.0,6427683534.96,6426627048.36
2018-08-20,'600720,祁连山,8.1,8.15,7.78,8.09,8.01,0.09,1.1236,2.2696,17615681,140736192.0,6287951284.2,6286917764.7
2018-08-17,'600720,祁连山,8.01,8.38,7.99,8.3,8.21,-0.2,-2.4361,1.7378,13488219,110749722.0,6218085158.82,6217063122.87
2018-08-16,'600720,祁连山,8.21,8.36,8.01,8.16,8.3,-0.09,-1.0843,2.5795,20021148,164291237.0,6373343215.22,6372295660.27
2018-08-15,'600720,祁连山,8.3,8.66,8.25,8.65,8.65,-0.35,-4.0462,3.2308,25076455,211224929.0,6443209340.6,6442150302.1
2018-08-14,'600720,祁连山,8.65,8.84,8.62,8.76,8.73,-0.08,-0.9164,2.5675,19927693,174265518.0,6714910939.3,6713807242.55
2018-08-13,'600720,祁连山,8.73,8.75,8.49,8.53,8.69,0.04,0.4603,2.4498,19014143,163680179.0,6777014161.86,6775900257.51
2018-08-10,'600720,祁连山,8.69,8.94,8.57,8.75,8.85,-0.16,-1.8079,2.9678,23035123,200129747.0,6745962550.58,6744853750.03
2018-08-09,'600720,祁连山,8.85,8.86,8.53,8.75,8.82,0.03,0.3401,3.9585,30724494,267047482.0,6870168995.7,6869039779.95
2018-08-08,'600720,祁连山,8.82,9.16,8.78,8.9,8.83,-0.01,-0.1133,6.5404,50764440,455821362.0,6846880287.24,6845754899.34
2018-08-07,'600720,祁连山,8.83,8.85,8.35,8.38,8.39,0.44,5.2443,4.8195,37407505,324161967.0,6854643190.06,6853516526.21
2018-08-06,'600720,祁连山,8.39,8.66,8.18,8.18,8.23,0.16,1.9441,4.2449,32947370,277261811.0,6513075465.98,6512004943.93
2018-08-03,'600720,祁连山,8.23,8.85,8.21,8.71,9.0,-0.77,-8.5556,5.5203,42846349,367519334.0,6388869020.86,6387818914.01
2018-08-02,'600720,祁连山,9.0,9.21,8.29,8.5,8.47,0.53,6.2574,8.305,64460164,561882971.0,6986612538.0,6985464183.0
2018-08-01,'600720,祁连山,8.47,9.01,8.44,8.5,8.19,0.28,3.4188,8.4804,65822032,577524415.0,6575178688.54,6574097958.89
2018-07-31,'600720,祁连山,8.19,8.25,7.96,8.1,8.28,-0.09,-1.087,2.6363,20462239,166063040.0,6357817409.58,6356772406.53
